id,timestamp,open,high,low,close,volume,current_price,conditions,date
9865.0,1978-01-03,93.82,95.15,93.49,93.82,,,,
9832.0,1978-01-04,93.52,94.1,93.16,93.52,,,,
9795.0,1978-01-05,92.74,94.53,92.51,92.74,,,,
9757.0,1978-01-06,91.62,92.66,91.05,91.62,,,,
9719.0,1978-01-09,90.64,91.52,90.01,90.64,,,,
9680.0,1978-01-10,90.17,91.29,89.72,90.17,,,,
9641.0,1978-01-11,89.74,90.7,89.74,89.74,,,,
9602.0,1978-01-12,89.92,90.6,89.25,89.92,,,,
9563.0,1978-01-13,89.69,90.47,89.26,89.69,,,,
9524.0,1978-01-16,89.43,90.11,88.88,89.43,,,,
9485.0,1978-01-17,89.88,90.31,89.05,89.88,,,,
9446.0,1978-01-18,90.56,90.86,89.59,90.56,,,,
9407.0,1978-01-19,90.09,91.04,89.74,90.09,,,,
9368.0,1978-01-20,89.89,91.04,89.74,89.89,,,,
9329.0,1978-01-23,89.24,90.08,88.81,89.24,,,,
9290.0,1978-01-24,89.25,89.8,88.67,89.25,,,,
9251.0,1978-01-25,89.39,89.94,88.83,89.39,,,,
9212.0,1978-01-26,88.58,89.79,88.31,88.58,,,,
9173.0,1978-01-27,88.58,89.1,88.02,88.58,,,,
9134.0,1978-01-30,89.34,89.67,88.26,89.34,,,,
9095.0,1978-01-31,89.25,89.92,88.61,89.25,,,,
9056.0,1978-02-01,89.93,90.24,88.92,89.93,,,,
9017.0,1978-02-02,90.13,90.91,89.54,90.13,,,,
8978.0,1978-02-03,89.62,90.32,89.19,89.62,,,,
8939.0,1978-02-06,89.5,89.48,89.36,89.5,,,,
8900.0,1978-02-07,90.33,89.48,89.36,90.33,,,,
8861.0,1978-02-08,90.83,91.32,90.09,90.83,,,,
8822.0,1978-02-09,90.3,90.96,89.84,90.3,,,,
8783.0,1978-02-10,90.08,90.69,89.56,90.08,,,,
8744.0,1978-02-13,88.86,90.3,89.38,88.86,,,,
8705.0,1978-02-14,89.04,89.89,88.7,89.04,,,,
8666.0,1978-02-15,88.83,89.4,88.3,88.83,,,,
8627.0,1978-02-16,88.08,88.77,87.64,88.08,,,,
8588.0,1978-02-17,87.96,88.34,88.01,87.96,,,,
8549.0,1978-02-21,87.59,88.19,87.09,87.59,,,,
8510.0,1978-02-22,87.56,88.15,87.19,87.56,,,,
8471.0,1978-02-23,87.64,87.92,86.83,87.64,,,,
8432.0,1978-02-24,88.49,88.53,88.07,88.49,,,,
8393.0,1978-02-27,87.72,88.97,87.49,87.72,,,,
8354.0,1978-02-28,87.04,87.76,86.58,87.04,,,,
8315.0,1978-03-01,87.19,87.63,86.45,87.19,,,,
8276.0,1978-03-02,87.32,87.81,86.69,87.32,,,,
8237.0,1978-03-03,87.45,87.98,86.83,87.45,,,,
8198.0,1978-03-06,86.9,87.52,86.48,86.9,,,,
8159.0,1978-03-07,87.36,87.63,86.55,87.36,,,,
8120.0,1978-03-08,87.84,88.08,86.97,87.84,,,,
8081.0,1978-03-09,87.89,88.49,87.34,87.89,,,,
8042.0,1978-03-10,88.88,89.25,87.82,88.88,,,,
8003.0,1978-03-13,88.95,89.77,88.48,88.95,,,,
7964.0,1978-03-14,89.35,89.62,88.21,89.35,,,,
7925.0,1978-03-15,89.12,89.73,88.52,89.12,,,,
7886.0,1978-03-16,89.51,89.77,88.58,89.51,,,,
7847.0,1978-03-17,90.2,90.52,89.17,90.2,,,,
7808.0,1978-03-20,90.82,91.35,90.1,90.82,,,,
7769.0,1978-03-21,89.79,91.06,89.5,89.79,,,,
